REAL TIME DATE OF LOGFILE: 08.03.2022 18:03:43
[DAY: 1 | 06:00:01]	LIGHT_SENS - 		4
[DAY: 1 | 08:14:38]	NOISE_SENS - 		21
[DAY: 1 | 08:14:38]	MOVEMENT_SENS - 		ON
[DAY: 1 | 08:18:25]	NOISE_SENS - 		51
[DAY: 1 | 08:22:08]	NOISE_SENS - 		63
[DAY: 1 | 08:22:08]	MOVEMENT_SENS - 		OFF
[DAY: 1 | 08:27:00]	NOISE_SENS - 		57
[DAY: 1 | 08:27:00]	MOVEMENT_SENS - 		ON
[DAY: 1 | 08:30:55]	NOISE_SENS - 		47
[DAY: 1 | 08:34:40]	NOISE_SENS - 		61
[DAY: 1 | 08:38:12]	NOISE_SENS - 		15
[DAY: 1 | 08:42:52]	LIGHT_SENS - 		0
[DAY: 1 | 08:42:52]	NOISE_SENS - 		90
[DAY: 1 | 08:43:04]	LIGHT_SENS - 		8
[DAY: 1 | 09:01:04]	LIGHT_SENS - 		10
[DAY: 1 | 09:01:44]	DOOR - 		UNLOCKED
[DAY: 1 | 09:01:53]	NOISE_SENS - 		50
[DAY: 1 | 09:02:35]	DOOR - 		LOCKED
[DAY: 1 | 09:02:35]	CAMERA - 		ON
[DAY: 1 | 09:02:44]	NOISE_SENS - 		83
[DAY: 1 | 09:02:44]	MOVEMENT_SENS - 		OFF
[DAY: 1 | 09:02:51]	NOISE_SENS - 		0
[DAY: 1 | 10:14:02]	HEATER - 		OFF 	[TEMP: 22,00652]
[DAY: 1 | 16:01:04]	LIGHT_SENS - 		9
[DAY: 1 | 18:01:05]	LIGHT_SENS - 		8
[DAY: 1 | 18:04:56]	DOOR - 		UNLOCKED
[DAY: 1 | 18:05:36]	DOOR - 		LOCKED
[DAY: 1 | 18:05:36]	CAMERA - 		OFF
[DAY: 1 | 18:05:41]	MOVEMENT_SENS - 		ON
[DAY: 1 | 18:09:46]	WINDOW - 		OPENED
[DAY: 1 | 18:09:50]	NOISE_SENS - 		26
[DAY: 1 | 18:13:59]	NOISE_SENS - 		48
[DAY: 1 | 18:17:37]	NOISE_SENS - 		86
[DAY: 1 | 18:17:37]	MOVEMENT_SENS - 		OFF
[DAY: 1 | 18:21:32]	NOISE_SENS - 		65
[DAY: 1 | 18:21:32]	MOVEMENT_SENS - 		ON
[DAY: 1 | 18:25:32]	NOISE_SENS - 		39
[DAY: 1 | 18:29:58]	NOISE_SENS - 		18
[DAY: 1 | 18:33:51]	NOISE_SENS - 		76
[DAY: 1 | 18:37:59]	NOISE_SENS - 		38
[DAY: 1 | 18:41:51]	NOISE_SENS - 		17
[DAY: 1 | 18:45:51]	NOISE_SENS - 		27
[DAY: 1 | 18:49:25]	NOISE_SENS - 		38
[DAY: 1 | 18:53:25]	NOISE_SENS - 		46
[DAY: 1 | 18:53:25]	MOVEMENT_SENS - 		OFF
[DAY: 1 | 18:57:21]	WINDOW - 		CLOSED
[DAY: 1 | 18:57:21]	HEATER - 		ON 	[TEMP: 14,05604]
[DAY: 1 | 18:57:22]	NOISE_SENS - 		93
[DAY: 1 | 19:01:01]	LIGHT_SENS - 		7
[DAY: 1 | 19:01:03]	NOISE_SENS - 		79
[DAY: 1 | 19:01:03]	MOVEMENT_SENS - 		ON
[DAY: 1 | 19:05:36]	NOISE_SENS - 		20
[DAY: 1 | 19:05:36]	MOVEMENT_SENS - 		OFF
[DAY: 1 | 19:09:09]	NOISE_SENS - 		85
[DAY: 1 | 19:09:09]	MOVEMENT_SENS - 		ON
[DAY: 1 | 19:13:37]	NOISE_SENS - 		17
[DAY: 1 | 19:17:26]	NOISE_SENS - 		75
[DAY: 1 | 19:21:29]	NOISE_SENS - 		76
[DAY: 1 | 19:25:07]	NOISE_SENS - 		39
[DAY: 1 | 19:29:33]	NOISE_SENS - 		47
[DAY: 1 | 19:37:53]	NOISE_SENS - 		24
[DAY: 1 | 19:42:59]	DOOR - 		UNLOCKED
[DAY: 1 | 19:43:00]	NOISE_SENS - 		58
[DAY: 1 | 19:43:02]	DOOR - 		LOCKED
[DAY: 1 | 19:43:02]	CAMERA - 		ON
[DAY: 1 | 19:43:04]	NOISE_SENS - 		0
[DAY: 1 | 19:43:04]	MOVEMENT_SENS - 		OFF
[DAY: 1 | 19:59:08]	DOOR - 		UNLOCKED
[DAY: 1 | 19:59:25]	NOISE_SENS - 		66
[DAY: 1 | 19:59:28]	NOISE_SENS - 		0
[DAY: 1 | 20:00:58]	DOOR - 		LOCKED
[DAY: 1 | 20:00:58]	CAMERA - 		OFF
[DAY: 1 | 20:01:00]	NOISE_SENS - 		7
[DAY: 1 | 20:01:02]	LIGHT_SENS - 		5
[DAY: 1 | 20:04:21]	NOISE_SENS - 		37
[DAY: 1 | 20:04:21]	MOVEMENT_SENS - 		ON
[DAY: 1 | 20:08:49]	NOISE_SENS - 		21
[DAY: 1 | 20:12:51]	NOISE_SENS - 		100
[DAY: 1 | 20:16:34]	NOISE_SENS - 		93
[DAY: 1 | 20:20:58]	NOISE_SENS - 		67
[DAY: 1 | 20:20:58]	MOVEMENT_SENS - 		OFF
[DAY: 1 | 20:24:10]	NOISE_SENS - 		17
[DAY: 1 | 20:24:10]	MOVEMENT_SENS - 		ON
[DAY: 1 | 20:28:58]	NOISE_SENS - 		37
[DAY: 1 | 20:32:42]	NOISE_SENS - 		10
[DAY: 1 | 20:36:11]	NOISE_SENS - 		96
[DAY: 1 | 20:40:17]	NOISE_SENS - 		60
[DAY: 1 | 20:40:17]	MOVEMENT_SENS - 		OFF
[DAY: 1 | 20:44:06]	NOISE_SENS - 		35
[DAY: 1 | 20:44:06]	MOVEMENT_SENS - 		ON
[DAY: 1 | 20:48:50]	NOISE_SENS - 		61
[DAY: 1 | 20:53:00]	NOISE_SENS - 		8
[DAY: 1 | 20:53:00]	MOVEMENT_SENS - 		OFF
[DAY: 1 | 20:53:39]	HEATER - 		OFF 	[TEMP: 22,04407]
[DAY: 1 | 20:56:24]	NOISE_SENS - 		31
[DAY: 1 | 20:56:24]	MOVEMENT_SENS - 		ON
[DAY: 1 | 21:00:24]	NOISE_SENS - 		39
[DAY: 1 | 21:01:02]	LIGHT_SENS - 		3
[DAY: 1 | 21:04:17]	NOISE_SENS - 		77
[DAY: 1 | 21:08:54]	NOISE_SENS - 		25
[DAY: 1 | 21:12:08]	NOISE_SENS - 		42
[DAY: 1 | 21:16:56]	MOVEMENT_SENS - 		OFF
[DAY: 1 | 21:21:00]	NOISE_SENS - 		32
[DAY: 1 | 21:25:00]	NOISE_SENS - 		47
[DAY: 1 | 21:28:38]	NOISE_SENS - 		84
[DAY: 1 | 21:28:38]	MOVEMENT_SENS - 		ON
[DAY: 1 | 21:32:28]	NOISE_SENS - 		94
[DAY: 1 | 21:36:35]	NOISE_SENS - 		28
[DAY: 1 | 21:36:35]	MOVEMENT_SENS - 		OFF
[DAY: 1 | 21:40:19]	NOISE_SENS - 		93
[DAY: 1 | 21:40:19]	MOVEMENT_SENS - 		ON
[DAY: 1 | 21:44:55]	NOISE_SENS - 		73
[DAY: 1 | 21:44:55]	MOVEMENT_SENS - 		OFF
[DAY: 1 | 21:48:59]	NOISE_SENS - 		65
[DAY: 1 | 21:48:59]	MOVEMENT_SENS - 		ON
[DAY: 1 | 21:52:47]	NOISE_SENS - 		4
[DAY: 1 | 21:56:38]	NOISE_SENS - 		15
[DAY: 1 | 22:01:02]	LIGHT_SENS - 		1
[DAY: 1 | 22:04:32]	NOISE_SENS - 		0
[DAY: 1 | 23:01:02]	LIGHT_SENS - 		0
[DAY: 2 | 04:01:12]	LIGHT_SENS - 		1
[DAY: 2 | 05:01:13]	LIGHT_SENS - 		2
[DAY: 2 | 06:01:12]	LIGHT_SENS - 		4
[DAY: 2 | 07:01:13]	LIGHT_SENS - 		6
[DAY: 2 | 07:26:43]	WINDOW - 		OPENED
[DAY: 2 | 07:26:59]	NOISE_SENS - 		14
[DAY: 2 | 07:26:59]	MOVEMENT_SENS - 		OFF
[DAY: 2 | 07:34:00]	NOISE_SENS - 		2
[DAY: 2 | 07:34:00]	MOVEMENT_SENS - 		ON
[DAY: 2 | 07:41:00]	NOISE_SENS - 		74
[DAY: 2 | 07:47:26]	NOISE_SENS - 		49
[DAY: 2 | 07:54:13]	NOISE_SENS - 		44
[DAY: 2 | 08:01:04]	LIGHT_SENS - 		8
[DAY: 2 | 08:01:39]	NOISE_SENS - 		37
[DAY: 2 | 08:08:18]	NOISE_SENS - 		7
[DAY: 2 | 08:15:45]	WINDOW - 		CLOSED
[DAY: 2 | 08:15:45]	HEATER - 		ON 	[TEMP: 12,78422]
[DAY: 2 | 08:15:51]	NOISE_SENS - 		43
[DAY: 2 | 08:15:51]	MOVEMENT_SENS - 		OFF
[DAY: 2 | 08:22:41]	NOISE_SENS - 		44
[DAY: 2 | 08:22:41]	MOVEMENT_SENS - 		ON
[DAY: 2 | 08:29:53]	NOISE_SENS - 		52
[DAY: 2 | 08:36:16]	NOISE_SENS - 		31
[DAY: 2 | 08:36:16]	MOVEMENT_SENS - 		OFF
[DAY: 2 | 08:43:30]	NOISE_SENS - 		60
[DAY: 2 | 08:43:30]	MOVEMENT_SENS - 		ON
[DAY: 2 | 08:50:13]	NOISE_SENS - 		35
[DAY: 2 | 08:57:53]	NOISE_SENS - 		99
[DAY: 2 | 09:01:04]	LIGHT_SENS - 		10
[DAY: 2 | 09:04:27]	LIGHT_SENS - 		0
[DAY: 2 | 09:04:27]	NOISE_SENS - 		59
[DAY: 2 | 09:04:52]	DOOR - 		UNLOCKED
[DAY: 2 | 09:04:57]	NOISE_SENS - 		52
[DAY: 2 | 09:05:05]	LIGHT_SENS - 		10
[DAY: 2 | 09:05:18]	DOOR - 		LOCKED
[DAY: 2 | 09:05:18]	CAMERA - 		ON
[DAY: 2 | 09:05:24]	NOISE_SENS - 		73
[DAY: 2 | 09:05:24]	MOVEMENT_SENS - 		OFF
[DAY: 2 | 09:05:30]	NOISE_SENS - 		0
[DAY: 2 | 10:29:19]	HEATER - 		OFF 	[TEMP: 22,04053]
[DAY: 2 | 16:01:04]	LIGHT_SENS - 		9
[DAY: 2 | 18:01:04]	LIGHT_SENS - 		8
[DAY: 2 | 18:10:36]	DOOR - 		UNLOCKED
[DAY: 2 | 18:11:08]	DOOR - 		LOCKED
[DAY: 2 | 18:11:08]	CAMERA - 		OFF
[DAY: 2 | 18:11:18]	MOVEMENT_SENS - 		ON
[DAY: 2 | 18:21:18]	WINDOW - 		OPENED
[DAY: 2 | 18:21:24]	NOISE_SENS - 		47
[DAY: 2 | 18:41:22]	NOISE_SENS - 		6
[DAY: 2 | 18:51:28]	NOISE_SENS - 		61
[DAY: 2 | 19:01:04]	LIGHT_SENS - 		7
[DAY: 2 | 19:01:30]	NOISE_SENS - 		63
[DAY: 2 | 19:11:45]	NOISE_SENS - 		62
[DAY: 2 | 19:21:26]	WINDOW - 		CLOSED
[DAY: 2 | 19:21:26]	HEATER - 		ON 	[TEMP: 12,67831]
[DAY: 2 | 19:21:32]	NOISE_SENS - 		10
[DAY: 2 | 19:31:53]	NOISE_SENS - 		100
[DAY: 2 | 19:41:44]	NOISE_SENS - 		7
[DAY: 2 | 19:41:44]	MOVEMENT_SENS - 		OFF
[DAY: 2 | 19:51:51]	NOISE_SENS - 		56
[DAY: 2 | 19:51:51]	MOVEMENT_SENS - 		ON
[DAY: 2 | 20:01:04]	LIGHT_SENS - 		5
[DAY: 2 | 20:01:31]	NOISE_SENS - 		98
[DAY: 2 | 20:11:13]	NOISE_SENS - 		48
[DAY: 2 | 20:21:54]	NOISE_SENS - 		57
[DAY: 2 | 20:31:17]	NOISE_SENS - 		16
[DAY: 2 | 20:41:08]	NOISE_SENS - 		59
[DAY: 2 | 20:51:08]	DOOR - 		UNLOCKED
[DAY: 2 | 20:51:12]	NOISE_SENS - 		64
[DAY: 2 | 20:52:15]	DOOR - 		LOCKED
[DAY: 2 | 20:52:15]	CAMERA - 		ON
[DAY: 2 | 20:52:20]	NOISE_SENS - 		0
[DAY: 2 | 20:52:20]	MOVEMENT_SENS - 		OFF
[DAY: 2 | 21:01:04]	LIGHT_SENS - 		3
[DAY: 2 | 21:37:42]	HEATER - 		OFF 	[TEMP: 22,0241]
[DAY: 2 | 22:01:04]	LIGHT_SENS - 		1
[DAY: 2 | 23:01:04]	LIGHT_SENS - 		0
[DAY: 3 | 04:01:01]	LIGHT_SENS - 		1
[DAY: 3 | 05:01:02]	LIGHT_SENS - 		2
[DAY: 3 | 06:01:02]	LIGHT_SENS - 		4
[DAY: 3 | 07:01:02]	LIGHT_SENS - 		6
[DAY: 3 | 07:04:27]	DOOR - 		UNLOCKED
[DAY: 3 | 07:04:37]	NOISE_SENS - 		53
[DAY: 3 | 07:04:39]	NOISE_SENS - 		0
[DAY: 3 | 07:05:19]	DOOR - 		LOCKED
[DAY: 3 | 07:05:19]	CAMERA - 		OFF
[DAY: 3 | 07:05:21]	NOISE_SENS - 		6
[DAY: 3 | 07:05:21]	MOVEMENT_SENS - 		ON
[DAY: 3 | 07:15:40]	WINDOW - 		OPENED
[DAY: 3 | 07:15:43]	NOISE_SENS - 		48
[DAY: 3 | 07:25:10]	NOISE_SENS - 		60
[DAY: 3 | 07:25:10]	MOVEMENT_SENS - 		OFF
[DAY: 3 | 07:35:33]	NOISE_SENS - 		11
[DAY: 3 | 07:35:33]	MOVEMENT_SENS - 		ON
[DAY: 3 | 07:45:11]	NOISE_SENS - 		55
[DAY: 3 | 07:55:39]	WINDOW - 		CLOSED
[DAY: 3 | 07:55:39]	HEATER - 		ON 	[TEMP: 13,63488]
[DAY: 3 | 07:55:42]	NOISE_SENS - 		9
[DAY: 3 | 07:55:42]	MOVEMENT_SENS - 		OFF
[DAY: 3 | 08:01:02]	LIGHT_SENS - 		8
[DAY: 3 | 08:05:55]	NOISE_SENS - 		99
[DAY: 3 | 08:05:55]	MOVEMENT_SENS - 		ON
[DAY: 3 | 08:15:57]	NOISE_SENS - 		91
[DAY: 3 | 08:25:18]	NOISE_SENS - 		22
[DAY: 3 | 08:35:37]	NOISE_SENS - 		76
[DAY: 3 | 08:45:34]	LIGHT_SENS - 		0
[DAY: 3 | 08:46:02]	LIGHT_SENS - 		8
[DAY: 3 | 09:01:02]	LIGHT_SENS - 		10
[DAY: 3 | 09:02:29]	DOOR - 		UNLOCKED
[DAY: 3 | 09:02:32]	NOISE_SENS - 		63
[DAY: 3 | 09:03:18]	DOOR - 		LOCKED
[DAY: 3 | 09:03:18]	CAMERA - 		ON
[DAY: 3 | 09:03:20]	NOISE_SENS - 		83
[DAY: 3 | 09:03:20]	MOVEMENT_SENS - 		OFF
[DAY: 3 | 09:03:23]	NOISE_SENS - 		0
[DAY: 3 | 09:57:24]	HEATER - 		OFF 	[TEMP: 22,0407]
[DAY: 3 | 16:01:08]	LIGHT_SENS - 		9
[DAY: 3 | 17:04:36]	DOOR - 		UNLOCKED
[DAY: 3 | 17:05:36]	DOOR - 		LOCKED
[DAY: 3 | 17:05:36]	CAMERA - 		OFF
[DAY: 3 | 17:05:40]	MOVEMENT_SENS - 		ON
[DAY: 3 | 17:15:17]	NOISE_SENS - 		23
[DAY: 3 | 17:15:17]	MOVEMENT_SENS - 		OFF
[DAY: 3 | 17:25:18]	WINDOW - 		OPENED
[DAY: 3 | 17:25:20]	NOISE_SENS - 		77
[DAY: 3 | 17:25:20]	MOVEMENT_SENS - 		ON
[DAY: 3 | 17:35:19]	NOISE_SENS - 		69
[DAY: 3 | 17:35:19]	MOVEMENT_SENS - 		OFF
[DAY: 3 | 17:45:37]	NOISE_SENS - 		21
[DAY: 3 | 17:45:37]	MOVEMENT_SENS - 		ON
[DAY: 3 | 17:55:32]	NOISE_SENS - 		82
[DAY: 3 | 18:01:02]	LIGHT_SENS - 		8
[DAY: 3 | 18:05:28]	NOISE_SENS - 		16
[DAY: 3 | 18:05:28]	MOVEMENT_SENS - 		OFF
[DAY: 3 | 18:16:58]	WINDOW - 		CLOSED
[DAY: 3 | 18:16:58]	HEATER - 		ON 	[TEMP: 14,26526]
[DAY: 3 | 18:17:00]	NOISE_SENS - 		90
[DAY: 3 | 18:26:04]	NOISE_SENS - 		5
[DAY: 3 | 18:26:04]	MOVEMENT_SENS - 		ON
[DAY: 3 | 18:36:13]	DOOR - 		UNLOCKED
[DAY: 3 | 18:36:15]	NOISE_SENS - 		58
[DAY: 3 | 18:37:57]	DOOR - 		LOCKED
[DAY: 3 | 18:37:57]	CAMERA - 		ON
[DAY: 3 | 18:38:00]	NOISE_SENS - 		0
[DAY: 3 | 18:38:00]	MOVEMENT_SENS - 		OFF
[DAY: 3 | 18:57:00]	DOOR - 		UNLOCKED
[DAY: 3 | 18:57:02]	NOISE_SENS - 		58
[DAY: 3 | 18:57:04]	NOISE_SENS - 		0
[DAY: 3 | 18:58:42]	DOOR - 		LOCKED
[DAY: 3 | 18:58:42]	CAMERA - 		OFF
[DAY: 3 | 18:58:45]	NOISE_SENS - 		26
[DAY: 3 | 18:58:45]	MOVEMENT_SENS - 		ON
[DAY: 3 | 19:01:02]	LIGHT_SENS - 		7
[DAY: 3 | 19:08:57]	NOISE_SENS - 		24
[DAY: 3 | 19:18:26]	NOISE_SENS - 		63
[DAY: 3 | 19:28:45]	NOISE_SENS - 		46
[DAY: 3 | 19:38:14]	NOISE_SENS - 		43
[DAY: 3 | 19:48:14]	NOISE_SENS - 		11
[DAY: 3 | 19:48:14]	MOVEMENT_SENS - 		OFF
[DAY: 3 | 19:58:43]	NOISE_SENS - 		40
[DAY: 3 | 19:58:43]	MOVEMENT_SENS - 		ON
[DAY: 3 | 20:01:02]	LIGHT_SENS - 		5
[DAY: 3 | 20:08:30]	NOISE_SENS - 		34
[DAY: 3 | 20:10:02]	HEATER - 		OFF 	[TEMP: 22,05791]
[DAY: 3 | 20:18:28]	NOISE_SENS - 		66
[DAY: 3 | 20:28:28]	NOISE_SENS - 		29
[DAY: 3 | 20:38:16]	NOISE_SENS - 		96
[DAY: 3 | 20:38:16]	MOVEMENT_SENS - 		OFF
[DAY: 3 | 20:48:38]	NOISE_SENS - 		36
[DAY: 3 | 20:48:38]	MOVEMENT_SENS - 		ON
[DAY: 3 | 20:58:29]	NOISE_SENS - 		62
[DAY: 3 | 21:01:02]	LIGHT_SENS - 		3
[DAY: 3 | 21:08:13]	NOISE_SENS - 		18
[DAY: 3 | 21:18:34]	NOISE_SENS - 		49
[DAY: 3 | 21:28:04]	NOISE_SENS - 		6
[DAY: 3 | 21:38:15]	NOISE_SENS - 		51
[DAY: 3 | 21:48:42]	NOISE_SENS - 		15
[DAY: 3 | 22:01:02]	LIGHT_SENS - 		1
[DAY: 3 | 22:12:24]	NOISE_SENS - 		0
[DAY: 3 | 23:01:02]	LIGHT_SENS - 		0
[DAY: 4 | 04:01:02]	LIGHT_SENS - 		1
[DAY: 4 | 05:01:02]	LIGHT_SENS - 		2
[DAY: 4 | 06:01:02]	LIGHT_SENS - 		4
[DAY: 4 | 07:01:01]	LIGHT_SENS - 		6
[DAY: 4 | 07:08:17]	WINDOW - 		OPENED
[DAY: 4 | 07:08:20]	NOISE_SENS - 		50
[DAY: 4 | 07:08:20]	MOVEMENT_SENS - 		OFF
[DAY: 4 | 07:13:24]	NOISE_SENS - 		75
[DAY: 4 | 07:13:24]	MOVEMENT_SENS - 		ON
[DAY: 4 | 07:18:27]	NOISE_SENS - 		30
[DAY: 4 | 07:23:33]	NOISE_SENS - 		1
[DAY: 4 | 07:28:11]	NOISE_SENS - 		57
[DAY: 4 | 07:33:14]	NOISE_SENS - 		20
[DAY: 4 | 07:33:14]	MOVEMENT_SENS - 		OFF
[DAY: 4 | 07:38:18]	NOISE_SENS - 		37
[DAY: 4 | 07:38:18]	MOVEMENT_SENS - 		ON
[DAY: 4 | 07:43:12]	NOISE_SENS - 		64
[DAY: 4 | 07:43:12]	MOVEMENT_SENS - 		OFF
[DAY: 4 | 07:48:52]	NOISE_SENS - 		82
[DAY: 4 | 07:48:52]	MOVEMENT_SENS - 		ON
[DAY: 4 | 07:53:10]	NOISE_SENS - 		51
[DAY: 4 | 07:58:04]	NOISE_SENS - 		16
[DAY: 4 | 08:01:02]	LIGHT_SENS - 		8
[DAY: 4 | 08:03:22]	WINDOW - 		CLOSED
[DAY: 4 | 08:03:22]	HEATER - 		ON 	[TEMP: 11,45711]
[DAY: 4 | 08:03:24]	NOISE_SENS - 		85
[DAY: 4 | 08:03:24]	MOVEMENT_SENS - 		OFF
[DAY: 4 | 08:08:58]	NOISE_SENS - 		46
[DAY: 4 | 08:08:58]	MOVEMENT_SENS - 		ON
[DAY: 4 | 08:13:24]	NOISE_SENS - 		2
[DAY: 4 | 08:18:15]	NOISE_SENS - 		36
[DAY: 4 | 08:23:12]	NOISE_SENS - 		27
[DAY: 4 | 08:23:12]	MOVEMENT_SENS - 		OFF
[DAY: 4 | 08:28:12]	NOISE_SENS - 		56
[DAY: 4 | 08:33:24]	NOISE_SENS - 		3
[DAY: 4 | 08:33:24]	MOVEMENT_SENS - 		ON
[DAY: 4 | 08:38:14]	NOISE_SENS - 		84
[DAY: 4 | 08:43:25]	NOISE_SENS - 		31
[DAY: 4 | 08:48:36]	NOISE_SENS - 		69
[DAY: 4 | 08:53:49]	NOISE_SENS - 		95
[DAY: 4 | 08:58:11]	LIGHT_SENS - 		0
[DAY: 4 | 08:58:11]	NOISE_SENS - 		2
[DAY: 4 | 08:59:02]	LIGHT_SENS - 		8
[DAY: 4 | 09:01:02]	LIGHT_SENS - 		10
[DAY: 4 | 09:03:21]	DOOR - 		UNLOCKED
[DAY: 4 | 09:03:24]	NOISE_SENS - 		62
[DAY: 4 | 09:04:11]	DOOR - 		LOCKED
[DAY: 4 | 09:04:11]	CAMERA - 		ON
[DAY: 4 | 09:04:27]	NOISE_SENS - 		87
[DAY: 4 | 09:04:27]	MOVEMENT_SENS - 		OFF
[DAY: 4 | 09:04:30]	NOISE_SENS - 		0
[DAY: 4 | 10:36:02]	HEATER - 		OFF 	[TEMP: 22,02436]
[DAY: 4 | 16:01:02]	LIGHT_SENS - 		9
[DAY: 4 | 17:07:31]	DOOR - 		UNLOCKED
[DAY: 4 | 17:08:37]	DOOR - 		LOCKED
[DAY: 4 | 17:08:37]	CAMERA - 		OFF
[DAY: 4 | 17:08:39]	MOVEMENT_SENS - 		ON
[DAY: 4 | 17:28:38]	WINDOW - 		OPENED
[DAY: 4 | 17:28:41]	NOISE_SENS - 		41
[DAY: 4 | 17:48:14]	NOISE_SENS - 		70
[DAY: 4 | 18:01:02]	LIGHT_SENS - 		8
[DAY: 4 | 18:08:04]	WINDOW - 		CLOSED
[DAY: 4 | 18:08:04]	HEATER - 		ON 	[TEMP: 15,67942]
[DAY: 4 | 18:08:07]	NOISE_SENS - 		15
[DAY: 4 | 18:28:39]	NOISE_SENS - 		38
[DAY: 4 | 18:48:02]	NOISE_SENS - 		94
[DAY: 4 | 19:01:02]	LIGHT_SENS - 		7
[DAY: 4 | 19:08:24]	NOISE_SENS - 		69
[DAY: 4 | 19:08:24]	MOVEMENT_SENS - 		OFF
[DAY: 4 | 19:28:52]	NOISE_SENS - 		41
[DAY: 4 | 19:28:52]	MOVEMENT_SENS - 		ON
[DAY: 4 | 19:40:01]	HEATER - 		OFF 	[TEMP: 22,03139]
[DAY: 4 | 19:48:44]	NOISE_SENS - 		37
[DAY: 4 | 19:48:44]	MOVEMENT_SENS - 		OFF
[DAY: 4 | 20:01:02]	LIGHT_SENS - 		5
[DAY: 4 | 20:08:43]	NOISE_SENS - 		56
[DAY: 4 | 20:08:43]	MOVEMENT_SENS - 		ON
[DAY: 4 | 20:28:19]	NOISE_SENS - 		42
[DAY: 4 | 20:28:19]	MOVEMENT_SENS - 		OFF
[DAY: 4 | 20:48:40]	NOISE_SENS - 		15
[DAY: 4 | 21:01:02]	LIGHT_SENS - 		3
[DAY: 4 | 21:08:22]	NOISE_SENS - 		36
[DAY: 4 | 21:08:22]	MOVEMENT_SENS - 		ON
[DAY: 4 | 21:28:28]	NOISE_SENS - 		12
[DAY: 4 | 21:48:10]	NOISE_SENS - 		21
[DAY: 4 | 22:01:02]	LIGHT_SENS - 		1
[DAY: 4 | 22:07:47]	NOISE_SENS - 		0
[DAY: 4 | 23:01:02]	LIGHT_SENS - 		0
[DAY: 5 | 04:01:02]	LIGHT_SENS - 		1
[DAY: 5 | 05:01:01]	LIGHT_SENS - 		2
[DAY: 5 | 06:01:02]	LIGHT_SENS - 		4
[DAY: 5 | 07:01:02]	LIGHT_SENS - 		6
[DAY: 5 | 07:05:12]	WINDOW - 		OPENED
[DAY: 5 | 07:05:15]	NOISE_SENS - 		53
[DAY: 5 | 07:09:28]	NOISE_SENS - 		25
[DAY: 5 | 07:13:13]	NOISE_SENS - 		8
[DAY: 5 | 07:17:23]	NOISE_SENS - 		40
[DAY: 5 | 07:21:25]	NOISE_SENS - 		47
[DAY: 5 | 07:25:53]	NOISE_SENS - 		11
[DAY: 5 | 07:25:53]	MOVEMENT_SENS - 		OFF
[DAY: 5 | 07:29:57]	NOISE_SENS - 		55
[DAY: 5 | 07:29:57]	MOVEMENT_SENS - 		ON
[DAY: 5 | 07:33:38]	NOISE_SENS - 		84
[DAY: 5 | 07:33:38]	MOVEMENT_SENS - 		OFF
[DAY: 5 | 07:37:39]	NOISE_SENS - 		99
[DAY: 5 | 07:37:39]	MOVEMENT_SENS - 		ON
[DAY: 5 | 07:41:08]	NOISE_SENS - 		45
[DAY: 5 | 07:45:23]	NOISE_SENS - 		72
[DAY: 5 | 07:49:44]	NOISE_SENS - 		55
[DAY: 5 | 07:53:04]	NOISE_SENS - 		80
[DAY: 5 | 07:57:20]	NOISE_SENS - 		2
[DAY: 5 | 08:01:02]	LIGHT_SENS - 		8
